Code;Country;Population;;;
ALA;Ã…land Islands;;;;
AFG;Afghanistan;33369945;;;
ALB;Albania;2903700;;;
DZA;Algeria;40375954;;;
ASM;American Samoa;55602;;;
AND;Andorra;69165;;;
AGO;Angola;25830958;;;
AIA;Anguilla;14763;;;
ATA;Antarctica;;;;
ATG;Antigua and Barbuda;92738;;;
ARG;Argentina;43847277;;;
ARM;Armenia;3026048;;;
ABW;Aruba;104263;;;
AUS;Australia;24309330;;;
AUT;Austria;8569633;;;
AZE;Azerbaijan;9868447;;;
BHS;Bahamas;392718;;;
BHR;Bahrain;1396829;;;
BGD;Bangladesh;162910864;;;
BRB;Barbados;285006;;;
BLR;Belarus;9481521;;;
BEL;Belgium;11371928;;;
BLZ;Belize;366942;;;
BEN;Benin;11166658;;;
BMU;Bermuda;61662;;;
BTN;Bhutan;784103;;;
BOL;Bolivia, Plurinational State of;10888402;;;
BES;Bonaire, Sint Eustatius and Saba;;;;
BIH;Bosnia and Herzegovina;3802134;;;
BWA;Botswana;2303820;;;
BVT;Bouvet Island;;;;
BRA;Brazil;209567920;;;
IOT;British Indian Ocean Territory;;;;
BRN;Brunei Darussalam;428874;;;
BGR;Bulgaria;7097796;;;
BFA;Burkina Faso;18633725;;;
BDI;Burundi;11552561;;;
CIV;Cote d'Ivoire;23254184;;;
CPV;Cabo Verde;526993;;;
KHM;Cambodia;15827241;;;
CMR;Cameroon;23924407;;;
CAN;Canada;36286378;;;
CYM;Cayman Islands;60764;;;
CAF;Central African Republic;4998493;;;
TCD;Chad;14496739;;;
CHL;Chile;18131850;;;
CHN;China;1382323332;;;
CXR;Christmas Island;;;;
CCK;Cocos (Keeling) Islands;;;;
COL;Colombia;48654392;;;
COM;Comoros;807118;;;
COG;Congo;4740992;;;
COD;Congo, the Democratic Republic of the;79722624;;;
COK;Cook Islands;20948;;;
CRI;Costa Rica;4857218;;;
HRV;Croatia;4225001;;;
CUB;Cuba;11392889;;;
CUW;Curacao;158635;;;
CYP;Cyprus;1176598;;;
CZE;Czech Republic;10548058;;;
DNK;Denmark;5690750;;;
DJI;Djibouti;899598;;;
DMA;Dominica;73016;;;
DOM;Dominican Republic;10648613;;;
ECU;Ecuador;16385450;;;
EGY;Egypt;93383574;;;
SLV;El Salvador;6146419;;;
GNQ;Equatorial Guinea;869587;;;
ERI;Eritrea;5351680;;;
EST;Estonia;1309104;;;
ETH;Ethiopia;101853268;;;
FLK;Falkland Islands (Malvinas);2912;;;
FRO;Faroe Islands;48239;;;
FJI;Fiji;897537;;;
FIN;Finland;5523904;;;
FRA;France;64668129;;;
GUF;French Guiana;275688;;;
PYF;French Polynesia;285735;;;
ATF;French Southern Territories;;;;
GAB;Gabon;1763142;;;
GMB;Gambia;2054986;;;
GEO;Georgia;3979781;;;
DEU;Germany;80682351;;;
GHA;Ghana;28033375;;;
GIB;Gibraltar;32373;;;
GRC;Greece;10919459;;;
GRL;Greenland;56196;;;
GRD;Grenada;107327;;;
GLP;Guadeloupe;470547;;;
GUM;Guam;172094;;;
GTM;Guatemala;16672956;;;
GGY;Guernsey;164466;;;
